iter	Passed	Remaining
157	158287	843530
158	159318	842685
159	160188	840990
160	161101	839526
161	162019	838102
162	163062	837320
163	164079	836403
164	165095	835482
165	166099	834501
166	167137	833686
167	168263	833307
168	169320	832573
169	170225	831100
170	171223	830082
171	172263	829266
172	173285	828365
173	174316	827500
174	175354	826669
175	176362	825695
176	177370	824724
177	178275	823272
178	179303	822391
179	180283	821289
180	181192	819870
181	182106	818478
182	183071	817318
183	184045	816199
184	184957	814811
185	185967	813857
186	186980	812916
187	187829	811263
188	188685	809648
189	189651	808512
190	190657	807548
191	191646	806511
192	192686	805690
193	193718	804828
194	194710	803806
195	195712	802820
196	196625	801474
197	197641	800546
198	198668	799666
199	199670	798681
200	200652	797617
201	201650	796618
202	202647	795616
203	203683	794766
204	204622	793535
205	205589	792416
206	206609	791505
207	207536	790235
208	208554	789313
209	209464	787985
210	210428	786861
211	211443	785932
212	212479	785076
213	213414	783848
214	214325	782535
215	215256	781302
216	216235	780240
217	217286	779440
218	218160	778007
219	219043	776610
220	219954	775315
221	220957	774347
222	221822	772895
223	222856	772039
224	223788	770827
225	224777	769814
226	225813	768959
227	226821	768010
228	227843	767105
229	228850	766152
230	229890	765304
231	230738	763825
232	231754	762900
233	232780	762007
234	233686	760723
235	234657	759655
236	235622	758566
237	236626	757604
238	237640	756672
239	238592	755543
240	239625	754672
241	240651	753777
242	241723	753022
243	242657	751841
244	243661	750874
245	244632	749809
246	245663	748924
247	246557	747624
248	247590	746750
249	248513	745541
250	249439	744343
251	250375	743178
252	251391	742249
253	252424	741373
254	253354	740191
255	254283	739012
256	255314	738127
257	256367	737305
258	257324	736205
259	258197	734871
260	259218	733955
261	260215	732972
262	261240	732068
263	262193	730963
264	263044	729575
265	263980	728426
266	264895	727221
267	265829	726070
268	266786	724983
269	267826	724124
270	268652	722683
271	269642	721690
272	270662	720774
273	271563	719544
274	272485	718371
275	273546	717564
276	274524	716537
277	275558	715658
278	276586	714763
279	277590	713803
280	278589	712832
281	279479	711583
282	280489	710638
283	281422	709501
284	282365	708391
285	283278	707206
286	284286	706259
287	285186	705045
288	286105	703879
289	287014	702691
290	287994	701677
291	288889	700458
292	289797	699272
293	290723	698130
294	291753	697241
295	292664	696065
296	293671	695122
297	294719	694271
298	295717	693305
299	296750	692417
300	297680	691291
301	298682	690331
302	299632	689253
303	300530	688057
304	301541	687119
305	302467	685987
306	303494	685086
307	304493	684122
308	305535	683252
309	306555	682334
310	307474	681189
311	308529	680346
312	309553	679434
313	310480	678311
314	311473	677331
315	312512	676452
316	313525	675513
317	314533	674565
318	315493	673513
319	316504	672572
320	317524	671648
321	318442	670508
322	319316	669279
323	320287	668254
324	321201	667110
325	322262	666273
326	323292	665368
327	324262	664342
328	325304	663462
329	326223	662332
330	327123	661164
331	327973	659898
332	328980	658949
333	329843	657712
334	330712	656488
335	331715	655532
336	332653	654449
337	333670	653521
338	334588	652397
339	335609	651476
340	336535	650372
341	337550	649438
342	338527	648432
343	339548	647511
344	340617	646678
345	341641	645760
346	342571	644665
347	343519	643605
348	344482	642573
349	345384	641428
350	346307	640323
351	347215	639191
352	348253	638300
353	349168	637184
354	350182	636246
355	351076	635092
356	351992	633981
357	353034	633095
358	354036	632137
359	355043	631188
360	355967	630092
361	356990	629171
362	357881	628017
363	358905	627098
364	359880	626092
365	360876	625124
366	361922	624242
367	362958	623342
368	363964	622389
369	364988	621467
370	366012	620544
371	366936	619451
372	367910	618444
373	368911	617482
374	369813	616355
375	370812	615390
376	371735	614299
377	372704	613285
378	373743	612387
379	374791	611501
380	375831	610602
381	376738	609488
382	377661	608399
383	378584	607313
384	379588	606355
385	380610	605427
386	381510	604305
387	382420	603198
388	383475	602323
389	384488	601380
390	385477	600399
391	386412	599332
392	387325	598234
393	388239	597139
394	389254	596200
395	390251	595232
396	391297	594338
397	392311	593395
398	393340	592475
399	394355	591533
400	395270	590441
401	396350	589596
402	397448	588776
403	398364	587686
404	399361	586716
405	400365	585755
406	401398	584837
407	402404	583880
408	403440	582966
409	404222	581685
410	405182	580663
411	406207	579733
412	407250	578827
413	408234	577839
414	409249	576893
415	410266	575951
416	411265	574982
417	412195	573917
418	413226	572994
419	414253	572064
420	415240	571079
421	416254	570130
422	417214	569108
423	418117	568009
424	419049	566949
425	420014	565935
426	421047	565011
427	422097	564110
428	423011	563029
429	423932	561957
430	424951	561014
431	425984	560091
432	426905	559019
433	427899	558043
434	428925	557109
435	429889	556094
436	430816	555033
437	431835	554090
438	432841	553130
439	433771	552072
440	434670	550976
441	435555	549864
442	436598	548950
443	437605	547992
444	438361	546720
445	439363	545756
446	440277	544682
447	441192	543612
448	442098	542530
449	443005	541450
450	443955	540424
451	445003	539517
452	446005	538553
453	446899	537460
454	447779	536351
455	448804	535415
456	449815	534463
457	450844	533532
458	451773	532481
459	452774	531517
460	453785	530565
461	454809	529627
462	455732	528570
463	456640	527498
464	457670	526567
465	458721	525659
466	459648	524609
467	460652	523647
468	461682	522715
469	462605	521661
470	463633	520726
471	464552	519669
472	465485	518627
473	466395	517560
474	467407	516608
475	468427	515663
476	469327	514587
477	470297	513588
478	471143	512454
479	472162	511509
480	473168	510549
481	474153	509567
482	475175	508624
483	476088	507564
484	477115	506627
485	478273	505828
486	479311	504900
487	480155	503770
488	481234	502885
489	482297	501983
490	483219	500933
491	484289	500038
492	485348	499131
493	486359	498173
494	487357	497203
495	488161	496035
496	489200	495106
497	490131	494067
498	491140	493109
499	492171	492171
500	493085	491116
501	494219	490281
502	495307	489399
503	496228	488351
504	497240	487393
505	498258	486441
506	499277	485490
507	500270	484513
508	501274	483547
509	502275	482578
510	503292	481623
511	504238	480602
512	505257	479649
513	506267	478689
514	507292	477741
515	508276	476755
516	509174	475689
517	510077	474628
518	511068	473649
519	511967	472585
520	512951	471600
521	513981	470657
522	514878	469592
523	515917	468658
524	516862	467637
525	517872	466675
526	518799	465639
527	519710	464590
528	520760	463663
529	521682	462623
530	522651	461626
531	523688	460688
532	524608	459647
533	525634	458699
534	526634	457729
535	527560	456694
536	528491	455664
537	529533	454729
538	530530	453756
539	531433	452702
540	532447	451743
541	533303	450651
542	534349	449719
543	535387	448781
544	536289	447727
545	537300	446766
546	538349	445836
547	539270	444799
548	540291	443846
549	541259	442849
550	542274	441890
551	543182	440843
552	544201	439888
553	545110	438843
554	546026	437804
555	546935	436761
556	548029	435865
557	548929	434815
558	549886	433810
559	550807	432777
560	551828	431822
561	552738	430781
562	553635	429731
563	554665	428783
564	555590	427755
565	556494	426711
566	557513	425755
567	558525	424793
568	559441	423760
569	560361	422729
570	561385	421776
571	562314	420752
572	563149	419659
573	564138	418680
574	565028	417629
575	565855	416532
576	566741	415479
577	567623	414423
578	568653	413477
579	569684	412530
580	570723	411589
581	571728	410622
582	572491	409483
583	573404	408452
584	574422	407496
585	575467	406558
586	576467	405589
587	577496	404640
588	578408	403609
589	579325	402582
590	580262	401568
591	581267	400603
592	582259	399628
593	583172	398599
594	584221	397663
595	585255	396716
596	586268	395755
597	587200	394740
598	588221	393784
599	589237	392825
600	590250	391863
601	591272	390907
602	592349	389987
603	593355	389020
604	594397	388077
605	595433	387129
606	596436	386160
607	597455	385201
608	598465	384236
609	599484	383277
610	600401	382252
611	601471	381325
612	602339	380269
613	603355	379308
614	604378	378350
615	605351	377361
616	606348	376388
617	607269	375367
618	608295	374411
619	609318	373453
620	610261	372446
621	611265	371476
622	612209	370470
623	613232	369511
624	614137	368482
625	615105	367490
626	616147	366544
627	617021	365496
628	618032	364531
629	618951	363510
630	619912	362516
631	620855	361510
632	621871	360548
633	622786	359526
634	623801	358562
635	624857	357622
636	625882	356664
637	626894	355698
638	627904	354731
639	628954	353786
640	629977	352826
641	631006	351869
642	631932	350855
643	632840	349830
644	633741	348803
645	634764	347842
646	635610	346786
647	636637	345827
648	637627	344849
649	638649	343888
650	639695	342939
651	640584	341907
652	641476	340876
653	642435	339881
654	643481	338932
655	644500	337969
656	645422	336955
657	646438	335990
658	647364	334979
659	648300	333972
660	649240	332968
661	650237	331994
662	651263	331034
663	652149	330003
664	653155	329033
665	654072	328018
666	655002	327010
667	655983	326027
668	657012	325068
669	658032	324105
670	659086	323158
671	660103	322193
672	661009	321173
673	662091	320240
674	663118	319279
675	664141	318316
676	665169	317355
677	666121	316358
678	667141	315393
679	668145	314421
680	669118	313434
681	670128	312464
682	671037	311447
683	671949	310432
684	672861	309418
685	673776	308404
686	674811	307446
687	675853	306491
688	676880	305529
689	677798	304518
690	678808	303548
691	679828	302582
692	680739	301568
693	681702	300577
694	682721	299611
695	683641	298602
696	684664	297637
697	685700	296678
698	686613	295666
699	687620	294694
700	688528	293680
701	689590	292731
702	690585	291755
703	691623	290796
704	692644	289829
705	693563	288821
706	694461	287803
707	695493	286841
708	696537	285885
709	697451	284874
710	698483	283912
711	699498	282943
712	700519	281976
713	701547	281012
714	702545	280035
715	703469	279029
716	704422	278035
717	705442	277068
718	706259	276020
719	707189	275018
720	708099	274007
721	709034	273007
722	710057	272041
723	711060	271067
724	711957	270052
725	712960	269078
726	714003	268119
727	714935	267118
728	715977	266159
729	716824	265126
730	717832	264154
731	718868	263192
732	719888	262224
733	720912	261257
734	721892	260273
735	722793	259262
736	723680	258246
737	724707	257280
738	725728	256312
739	726662	255314
740	727693	254349
741	728712	253379
742	729744	252414
743	730765	251446
744	731668	250436
745	732571	249427
746	733426	248402
747	734435	247429
748	735351	246426
749	736277	245425
750	737205	244426
751	738256	243467
752	739286	242501
753	740312	241534
754	741334	240565
755	742233	239556
756	743246	238585
757	744295	237624
758	745217	236623
759	746248	235657
760	747263	234685
761	748300	233721
762	749228	232722
763	750278	231761
764	751222	230767
765	752233	229794
766	753152	228793
767	754163	227820
768	755142	226837
769	756033	225828
770	757033	224851
771	757935	223846
772	758924	222866
773	759968	221902
774	760997	220934
775	761926	219937
776	762948	218967
777	763969	217996
778	764885	216995
779	765804	215996
780	766815	215022
781	767840	214052
782	768864	213082
783	769936	212125
784	770930	211146
785	771939	210171
786	772962	209200
787	773976	208227
788	774952	207243
789	775949	206265
790	776960	205290
791	777945	204308
792	778951	203332
793	779956	202356
794	780821	201343
795	781717	200339
796	782685	199354
797	783671	198372
798	784573	197370
799	785601	196400
800	786614	195425
801	787684	194465
802	788590	193464
803	789609	192491
804	790620	191516
805	791618	190538
806	792585	189552
807	793558	188568
808	794449	187564
809	795458	186589
810	796336	185582
811	797372	184613
812	798276	183613
813	799149	182606
814	800164	181632
815	801163	180654
816	802179	179680
817	803189	178704
818	804190	177727
819	805204	176752
820	806094	175750
821	807006	174753
822	807903	173753
823	808892	172773
824	809787	171773
825	810790	170796
826	811765	169813
827	812670	168815
828	813657	167835
829	814663	166858
830	815702	165889
831	816583	164887
832	817576	163907
833	818587	162932
834	819575	161952
835	820596	160978
836	821609	160002
837	822513	159006
838	823523	158030
839	824436	157035
840	825462	156062
841	826362	155065
842	827323	154080
843	828244	153087
844	829247	152110
845	830158	151116
846	831078	150124
847	832088	149147
848	833091	148170
849	834091	147192
850	835116	146218
851	836007	145222
852	836995	144241
853	837908	143249
854	838911	142271
855	839793	141273
856	840805	140297
857	841794	139317
858	842672	138319
859	843659	137339
860	844636	136358
861	845648	135382
862	846662	134406
863	847679	133430
864	848583	132437
865	849590	131460
866	850608	130485
867	851600	129506
868	852563	128522
869	853563	127543
870	854454	126549
871	855461	125572
872	856464	124594
873	857473	123617
874	858369	122624
875	859335	121641
876	860353	120665
877	861377	119690
878	862279	118698
879	863171	117705
880	864174	116727
881	865085	115737
882	866084	114758
883	866993	113768
884	867904	112778
885	868916	111801
886	869828	110812
887	870799	109830
888	871783	108850
889	872693	107860
890	873666	106879
891	874660	105900
892	875648	104920
893	876622	103939
894	877561	102954
895	878556	101975
896	879468	100986
897	880457	100007
898	881466	99030
899	882459	98051
900	883433	97069
901	884509	96099
902	885577	95128
903	886480	94139
904	887513	93164
905	888508	92185
906	889524	91208
907	890454	90222
908	891459	89243
909	892451	88264
910	893464	87286
911	894460	86307
912	895459	85328
913	896365	84340
914	897351	83360
915	898270	82374
916	899285	81396
917	900295	80418
918	901201	79431
919	902282	78459
920	903291	77481
921	904299	76502
922	905226	75517
923	906160	74532
924	907108	73549
925	908014	72562
926	909013	71583
927	910013	70604
928	911033	69626
929	911939	68640
930	912940	67661
931	913828	66674
932	914837	65695
933	915867	64718
934	916834	63737
935	917868	62760
936	918777	61774
937	919667	60788
938	920693	59810
939	921699	58831
940	922597	57846
941	923609	56867
942	924600	55887
943	925459	54900
944	926500	53923
945	927451	52941
946	928438	51961
947	929382	50978
948	930245	49992
949	931241	49012
950	932152	48028
951	933065	47045
952	934081	46066
953	935155	45091
954	936165	44112
955	937070	43128
956	937956	42144
957	938860	41160
958	939760	40177
959	940801	39200
960	941817	38221
961	942709	37238
962	943699	36258
963	944693	35279
964	945577	34295
965	946445	33311
966	947430	32332
967	948339	31350
968	949206	30366
969	950131	29385
970	951131	28406
971	952132	27427
972	953119	26448
973	954323	25474
974	955264	24493
975	956353	23516
976	957366	22537
977	958431	21559
978	959430	20580
979	960354	19599
980	961269	18617
981	962319	17639
982	963338	16659
983	963994	15674
984	964892	14693
985	965672	13711
986	966665	12732
987	967501	11751
988	968483	10771
989	969489	9792
990	970503	8813
991	971493	7834
992	972502	6855
993	973454	5875
994	974460	4896
995	975362	3917
996	976373	2937
997	977298	1958
998	978223	979
999	979119	0
