iter	Logloss
0	0.5313152147
1	0.422808081
2	0.3450192913
3	0.2892207204
4	0.248593998
5	0.2209099459
6	0.1985686069
7	0.1834404546
8	0.171849617
9	0.1622111028
10	0.1547840176
11	0.1496091158
12	0.1453653547
13	0.141827186
14	0.1394145845
15	0.1374959913
16	0.135592436
17	0.1346137457
18	0.1335485903
19	0.1325073697
20	0.1315360122
21	0.1308417405
22	0.130182457
23	0.1298003629
24	0.1293768255
25	0.1290134738
26	0.1286324734
27	0.1283812011
28	0.128057203
29	0.1277411678
30	0.1274855941
31	0.1272697275
32	0.1271688729
33	0.1268883673
34	0.1267249354
35	0.1265809954
36	0.126437939
37	0.1262840703
38	0.126203832
39	0.1260629966
40	0.1260040379
41	0.1258731579
42	0.1258079478
43	0.1256590266
44	0.1255422081
45	0.1253749827
46	0.125310128
47	0.1252413661
48	0.1251217992
49	0.1250636209
50	0.1250156379
51	0.1249402714
52	0.1248840915
53	0.1248087775
54	0.1247019166
55	0.1246737389
56	0.1246049018
57	0.1245525732
58	0.1244717294
59	0.1243927551
60	0.1243279693
61	0.1242733742
62	0.1242190345
63	0.1241340382
64	0.1241037397
65	0.1240535378
66	0.1240069428
67	0.1239427922
68	0.1238672657
69	0.1238208385
70	0.1237603329
71	0.1237122684
72	0.1236773458
73	0.1236577186
74	0.1236141888
75	0.123598816
76	0.123579281
77	0.1235531309
78	0.1234653049
79	0.1233841232
80	0.1233255258
81	0.1232857636
82	0.1232633133
83	0.123232384
84	0.1231898355
85	0.1231538203
86	0.1231193971
87	0.1230849343
88	0.123047286
89	0.1230076934
90	0.1229855438
91	0.1229610125
92	0.1229397249
93	0.1229042533
94	0.1228678043
95	0.1228419957
96	0.1227675377
97	0.1227328839
98	0.1227003646
99	0.1226874438
100	0.1226615777
101	0.1226311001
102	0.1225989937
103	0.1225798822
104	0.1225573821
105	0.1225250074
106	0.1224768087
107	0.1224455022
108	0.1224167578
109	0.1223977214
110	0.1223620815
111	0.1223394378
112	0.122306915
113	0.1222605985
114	0.1222270727
115	0.1222079969
116	0.1221936687
117	0.1221612305
118	0.1221134239
119	0.1220908179
120	0.1220696739
121	0.1220294668
122	0.1220022496
123	0.1219876607
124	0.1219639437
125	0.1219338908
126	0.1218879654
127	0.121872323
128	0.1218484292
129	0.1218095267
130	0.1217803295
131	0.1217597034
132	0.1217399766
133	0.1217186928
134	0.1216680407
135	0.1216367166
136	0.1215801352
137	0.1215610966
138	0.1215265487
139	0.1214929584
140	0.1214844989
141	0.1214642509
142	0.1214473978
143	0.1214260312
144	0.1213741157
145	0.121347904
146	0.1213315901
147	0.1213180251
148	0.1213008527
149	0.1212790422
150	0.1212437985
151	0.1212050425
152	0.1211929127
153	0.1211640626
154	0.1211382112
155	0.1211288104
156	0.1211193573
157	0.1211009885
158	0.1210721705
159	0.1210529196
160	0.1210369548
161	0.1210284653
162	0.1210116008
163	0.1209881517
164	0.1209736026
165	0.1209581319
166	0.120933196
167	0.1209062448
168	0.1208888151
169	0.1208857454
170	0.1208738139
171	0.1208524067
172	0.1208077538
173	0.1207657438
174	0.1207457739
175	0.120730238
176	0.1207109587
177	0.1206892888
178	0.1206728751
179	0.1206547895
180	0.1206506843
181	0.1206296353
182	0.1206214151
183	0.1205775878
184	0.1205554105
185	0.1205356616
186	0.1205168572
187	0.1204931294
188	0.1204554665
189	0.1204224955
190	0.1204077211
191	0.1203989377
192	0.1203743932
193	0.1203559756
194	0.1203355528
195	0.1203258697
196	0.1203130824
197	0.1202927745
198	0.1202663079
199	0.1202551801
200	0.1202277277
201	0.1202226501
202	0.1202100878
203	0.120190835
204	0.1201673589
205	0.1201494417
206	0.1201308529
207	0.1201086274
208	0.1200920668
209	0.1200765203
210	0.1200664984
211	0.1200496383
212	0.1200316219
213	0.1200158619
214	0.1200052183
215	0.1200004931
216	0.1199820672
217	0.1199571758
218	0.1199503283
219	0.1199326565
220	0.1199121644
221	0.1199018977
222	0.11990095
223	0.1198843464
224	0.1198669133
225	0.1198527129
226	0.1198317025
227	0.1198163294
228	0.119799014
229	0.1197848061
230	0.1197691368
231	0.1197604941
232	0.1197485098
233	0.1197222533
234	0.1197066297
235	0.1196951203
236	0.1196724024
237	0.1196567114
238	0.1196378695
239	0.1196248357
240	0.11960499
241	0.1195948801
242	0.1195723243
243	0.1195599107
244	0.1195358552
245	0.1195228486
246	0.1194914576
247	0.1194748871
248	0.119462611
249	0.1194526498
250	0.1194386544
251	0.1193982483
252	0.1193838384
253	0.1193746755
254	0.1193491894
255	0.1193364392
256	0.1193126677
257	0.1192902598
258	0.1192849583
259	0.1192841296
260	0.1192648519
261	0.1192516106
262	0.1192285649
263	0.1192121946
264	0.1192111486
265	0.1191822628
266	0.1191722548
267	0.1191560475
268	0.1191370607
269	0.1191252534
270	0.1191234509
271	0.1191006314
272	0.1190864486
273	0.1190660575
274	0.119051499
275	0.1190386248
276	0.1190289726
277	0.1190159647
278	0.1190080764
279	0.1189940607
280	0.1189785693
281	0.1189677248
282	0.1189373689
